'show_id','type','title','director','cast','country','date_added','release_year','rating','duration','listed_in','description'
('s180','Movie','A Go! Go! Cory Carson Summer Camp',"'Stanley Moore, Alex Woo'","'Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson'",,44047,2020,'TV-Y','21 min','Children & Family Movies',"'Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.')"
('s195','Movie','A Life of Speed: The Juan Manuel Fangio Story','Francisco Macri',,'Argentina',43910,2020,'TV-14','93 min',"'Documentaries, International Movies, Sports Movies'","'Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.')"
('s200','TV Show','A Love So Beautiful',,"'Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun, Cho Ryun, Kim Sung-gon, Seong Hye-min, Park Ji-won'",'South Korea',44193,2020,'TV-PG','1 Season',"'International TV Shows, Romantic TV Shows, TV Comedies'","'Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.')"
('s201','Movie','A Love Song for Latasha','Sophia Nahli Allison',,'United States',44095,2020,'TV-PG','20 min','Documentaries','The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.')
('s210','Movie','A New York Christmas Wedding','Otoja Abit',"'Nia Fairweather, Chris Noth, Cooper Koch, Tyra Ferrell, Denny Dillon, Adriana DeMeo, Otoja Abit, David Anzuelo, Camilla Harden, Natasha Goodman, Avery Whitted, Tony D. Head, Joe Perrino'",'United States',44140,2020,'TV-MA','90 min',"'Dramas, LGBTQ Movies, Romantic Movies'","'As her wedding nears, a bride-to-be is visited by an angel who reveals what could have been if she'd followed feelings for her childhood best friend.')"
('s214','TV Show','A Perfect Crime',,,'Germany',44099,2020,'TV-14','1 Season',"'Crime TV Shows, Docuseries, International TV Shows'","'This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.')"
('s219','TV Show','A Queen Is Born','Carla Barros',"'Gloria Groove, Alexia Twister'",'Brazil',44146,2020,'TV-14','1 Season',"'International TV Shows, Reality TV'",'Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.')
('s224','Movie','A Secret Love','Chris Bolan',,'United States',43950,2020,'TV-14','83 min',"'Documentaries, LGBTQ Movies'","'Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.')"
('s228','Movie','A Shaun the Sheep Movie: Farmageddon',"'Richard Phelan, Will Becher'","'Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt'","'United Kingdom, France, Belgium, United States, China'",43875,2020,'G','87 min',"'Children & Family Movies, Comedies'",'Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.')
('s243','Movie','A Trash Truck Christmas','Eddie Rosas',"'Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio'",,44176,2020,'TV-Y','28 min','Children & Family Movies',"'When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.')"
('s245','Movie','A truthful Mother','Ravishankar Venkateswaran',"'Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar, SR Leela'",'India',43921,2020,'TV-Y7','85 min','Children & Family Movies',"'Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a Kannada folk song.')"
('s254','Movie','A Whisker Away',"'Junichi Sato, Tomotaka Shibayama'","'Mirai Shida, Natsuki Hanae, Hiroaki Ogi, Koichi Yamadera, Minako Kotobuki, Susumu Chiba, Ayako Kawasumi, Sayaka Ohara, Daisuke Namikawa'",'Japan',44000,2020,'TV-PG','104 min',"'Anime Features, Children & Family Movies, International Movies'","'A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.')"
('s290','TV Show','Absurd Planet',,'Afi Ekulona','United States',43943,2020,'TV-PG','1 Season',"'Docuseries, Science & Nature TV, TV Comedies'","'A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth’s most incredible animals.')"
('s305','Movie','Adú','Salvador Calvo',"'Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas'",'Spain',44013,2020,'TV-MA','120 min',"'Dramas, International Movies'","'Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.')"
('s321','Movie','Afonso Padilha: Classless',"'Junior Carelli, Rudge Campos'",'Afonso Padilha','Brazil',44077,2020,'TV-MA','63 min','Stand-Up Comedy','Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.')
('s325','TV Show','After Life',,"'Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman'",'United Kingdom',43945,2020,'TV-MA','2 Seasons',"'British TV Shows, International TV Shows, TV Comedies'","'Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.')"
('s330','Movie','After We Collided','Roger Kumble',"'Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Selma Blair, Louise Lombard, Shane Paul McGhie, Candice King, Charlie Weber, Khadijha Red Thunder, Inanna Sarkis, Pia Mia, Samuel Larsen, Dylan Arnold, Karimah Westbrook, Rob Estes'",'United States',44187,2020,'R','105 min',"'Dramas, Romantic Movies'","'Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on — or trust him with a second chance.')"
('s342','TV Show','Aggretsuko',,"'Kaolip, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Shingo Kato, Yuki Takahashi'",'Japan',44070,2020,'TV-14','3 Seasons',"'Anime Series, International TV Shows'","'Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.')"
